id,name,requestedBy,blueprintId,deploymentId,resourceIds,inputs,status,details,createdAt,updatedAt,totalTasks,completedTasks,actionId,catalogItemId,outputs
38463ef3-841b-4258-92a9-dc77cb72ab4a,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",FAILED,"Error, invalid parameter. Disk size should be no less than 1 or VM datastore count is not 1. (Workflow:Copy of PVE Add Disk / check Params (item4)#2)",2023-02-02T02:10:31.474303Z,2023-02-02T02:10:54.283742Z,2,1,Cloud.vSphere.Machine.custom.customadddisk,,

477bbf7e-9e60-41e3-8d58-30e52b37fa6b,Add Disk,administrator,,"maks10","['b7aac686-7aff-4105-ab2f-b0eae37814ff', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'newDisk', 'capacityGb': '1'}",SUCCESSFUL,,2023-02-02T02:08:43.283996Z,2023-02-02T02:09:50.616675Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

4db2189a-1618-48be-8fa4-daff135fe3bd,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T02:04:39.093647Z,2023-02-02T02:04:52.995520Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

4fd30c05-d298-4431-9f4f-ba5826793ce6,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T02:01:12.444285Z,2023-02-02T02:02:04.775904Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

33e549cd-af5c-479e-9135-badb0b7a7fc7,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T01:55:40.546971Z,2023-02-02T01:56:03.868973Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

16200ec5-58c4-445f-a2b2-6756df63675e,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 1, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",FAILED,"Error, invalid parameter. Disk size should be no less than 1 or VM datastore count is not 1. (Workflow:Copy of PVE Add Disk / check Params (item4)#2)",2023-02-02T01:52:29.675029Z,2023-02-02T01:52:42.982510Z,2,1,Cloud.vSphere.Machine.custom.customadddisk,,

fa67cf5c-432b-4ecd-a4fd-9da80c4d2c51,Add Disk,administrator,,"maks10","['0782679b-5f64-42c9-b61c-8a711138718f', '59985d60-57cc-4054-b1df-f6d3cc49e93a']","{'name': 'newDisk', 'capacityGb': '1'}",SUCCESSFUL,,2023-02-02T01:42:43.037751Z,2023-02-02T01:43:43.626740Z,6,6,Cloud.vSphere.Machine.Add.Disk,,

a7f85835-f0b0-46a5-9942-6b78efd7f726,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T01:41:33.460525Z,2023-02-02T01:41:44.326126Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

036f8330-8a39-4507-b5aa-4bbdb5c5efc6,Power On,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],,SUCCESSFUL,,2023-02-02T01:36:14.902394Z,2023-02-02T01:36:34.174450Z,2,2,Cloud.vSphere.Machine.PowerOn,,

f96003b5-3645-4f5d-b1e6-0f5ed965bedc,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T01:35:01.782711Z,2023-02-02T01:35:24.231483Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

02a4bd69-d93c-44e6-8909-957971de8244,Create VM Property,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],{'New Owner': 'testUser1'},FAILED,TypeError: Cannot find function createRestClient in object notfound. (Workflow:Get operation / Rest client - GET operation (item1)#12759),2023-02-02T01:29:37.850387Z,2023-02-02T01:29:54.011740Z,2,1,Cloud.vSphere.Machine.custom.createproperty,,

f59dd9b7-3217-4fe0-9b99-8a702e3e4513,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T01:28:26.133495Z,2023-02-02T01:28:44.056411Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

2e2b89a4-9634-4e4b-96d1-6882e974c9e9,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T01:08:50.261553Z,2023-02-02T01:09:03.282002Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

d8ce5185-6f09-4eb9-ab55-3f1a77eed0d5,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T00:46:47.906711Z,2023-02-02T00:47:03.141576Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

3ab0536e-f26b-42dc-9688-3e8a900028c9,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T00:28:06.044206Z,2023-02-02T00:28:23.999423Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

c22280c6-a5d3-42dd-bdc5-e50e15d66671,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': False}",ABORTED,Cancel requested by administrator,2023-02-02T00:27:28.433563Z,2023-02-02T00:27:38.183751Z,2,0,Cloud.vSphere.Machine.custom.customadddisk,,

9e4845b6-8fe4-47df-a40b-a6525950761f,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",SUCCESSFUL,,2023-02-02T00:23:59.838146Z,2023-02-02T00:24:54.038807Z,2,2,Cloud.vSphere.Machine.custom.customadddisk,,

26b45cdb-3754-46a2-8825-5478149362d1,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",FAILED,"ReferenceError: ""dt"" is not defined. (Workflow:Copy of PVE Add Disk / Get Current Time (item22)#1)",2023-02-02T00:09:46.643081Z,2023-02-02T00:10:04.119656Z,2,1,Cloud.vSphere.Machine.custom.customadddisk,,

adb4febc-9007-4114-87b1-da9deba3294b,Custom Add Disk,administrator,,"maks10",['59985d60-57cc-4054-b1df-f6d3cc49e93a'],"{'vm': {'id': 'sqa-vc67.sqa.local,id:vm-29442', 'type': 'VC:VirtualMachine', 'label': 'Cloud_Machine_1-mcm2527-223598700765'
}, 'diskMode': {'id': 'persistent', 'type': 'VC:VirtualDiskMode', 'label': 'persistent'}, 'diskSize': 0.01, 'scsiBusNumber': 0, 'thinProvisioned': False, 'applyRecommendation': True}",FAILED,"Cannot schedule workflow : Task ""VM Day 2 Action Call"" is planned in the past [2/2/23, 12:04 AM]!",2023-02-02T00:04:40.453826Z,2023-02-02T00:04:54.625294Z,2,1,Cloud.vSphere.Machine.custom.customadddisk,,

